Feature\Product;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;
bali;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
cpp;-;-;-;-;X;X;X;-;-;X;-;-;X;-;X;-;-;-;
Gui;-;-;-;-;X;X;X;X;X;X;X;X;-;X;-;-;X;X;
xak;-;-;-;-;-;X;-;-;X;X;-;X;-;-;X;X;-;-;
mainGUI;-;-;-;-;X;X;X;X;X;X;X;X;-;X;-;-;X;X;
web;-;-;-;-;X;X;-;-;X;X;X;X;-;-;-;-;-;-;
Java;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
jedi;-;-;-;-;X;X;X;X;-;-;-;-;X;-;-;-;-;-;
mmatrix;-;-;-;-;X;X;-;X;-;X;X;X;-;X;-;-;-;X;
Xml;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;-;-;
aj;-;-;X;-;X;X;X;-;-;-;X;-;-;-;-;-;-;-;
reform;-;-;-;-;X;-;X;-;X;X;X;-;-;-;X;X;-;-;
bcjak2java;-;-;-;-;X;X;-;X;-;-;-;-;-;-;-;-;-;X;
jak2aj;-;-;X;-;-;X;-;-;-;-;X;-;-;-;-;-;-;-;
jak2java;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
APL;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
guidsl;-;-;-;-;-;X;X;X;-;-;X;-;-;-;-;-;X;-;
xc;-;-;-;-;-;-;X;X;-;-;X;-;X;X;-;-;-;-;
mainJava;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
me;-;-;-;-;X;X;-;-;-;X;X;-;-;X;-;-;-;-;
mainAPL;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
bc;-;-;-;-;X;X;-;X;-;-;-;-;-;X;-;-;-;X;
drc;-;-;-;-;X;X;-;-;-;-;-;X;-;X;X;-;-;-;
