;1;2;3;4;5;6;7;8;9;10;11;12
#Weight;884837;2217922;325287;58563;74697;88697;75467;33899;14264;25519;116596;1686599
RCP_Platform;X;X;X;X;X;X;X;X;X;X;X;X
CVS;X;X;X;X;X;X;X;X;X;X;X;X
EGit;-;-;X;X;X;X;-;-;-;-;-;-
EMF;X;X;-;-;-;X;X;-;-;-;-;-
GEF;X;X;-;-;-;X;X;-;-;-;-;-
JDT;X;X;-;-;X;X;X;-;X;-;-;X
Mylyn;X;X;X;X;X;X;X;X;X;X;X;-
WebTools;-;X;-;-;-;-;X;-;-;-;X;-
RSE;-;X;X;X;-;-;X;X;-;-;-;-
EclipseLink;-;X;-;-;-;-;X;-;-;X;-;-
PDE;-;X;-;-;X;X;X;-;X;-;-;X
Datatools;-;X;-;-;-;-;X;-;-;-;-;-
CDT;-;-;X;X;-;-;-;X;-;-;-;-
BIRT;-;-;-;-;-;-;X;-;-;-;-;-
GMF;-;-;-;-;-;X;-;-;-;-;-;-
PTP;-;-;-;-;-;-;-;X;-;-;-;-
Scout;-;-;-;-;-;-;-;-;X;-;-;-
Jubula;-;-;-;-;-;-;-;-;-;X;-;-
RAP;-;-;-;-;X;-;-;-;-;-;-;-
WindowBuilder;X;-;-;-;-;-;-;-;-;-;-;-
Maven;X;-;-;-;-;-;-;-;-;-;-;-
