Feature\Product;5;6;7;8;9;10;11;12;13;14;15;16
RVM;X;X;X;X;X;X;X;X;X;X;X;X
CrateUnit;X;-;X;-;-;-;X;X;X;-;-;X
CRS2;X;-;-;-;-;-;X;X;-;-;-;-
CRS2_ColorDetector;-;-;-;-;-;-;X;X;-;-;-;-
CRS2_CrateScale;X;-;-;-;-;-;X;X;-;-;-;-
CRS3;-;-;X;-;-;-;-;-;-;-;-;-
CRS3_ColorDetector;-;-;X;-;-;-;-;-;-;-;-;-
CRS3_CrateScale;-;-;X;-;-;-;-;-;-;-;-;-
CamCrate;-;-;-;-;-;-;-;-;X;-;-;X
ColorCamera;-;-;-;-;-;-;-;-;X;-;-;X
LogoCamera;-;-;-;-;-;-;-;-;X;-;-;X
CamCrate_CrateScale;-;-;-;-;-;-;-;-;X;-;-;X
BottleUnit;X;X;X;X;X;X;X;X;X;X;X;X
Display;X;X;X;X;X;X;X;X;X;X;X;X
Display2line;-;-;X;-;-;-;-;-;-;-;-;-
DisplayBW;X;X;-;X;X;-;-;-;-;-;-;-
DisplayColor;-;-;-;-;-;X;X;X;X;X;X;-
DisplayTouch;-;-;-;-;-;-;-;-;-;-;-;X
Scale;-;X;X;X;X;X;X;X;X;X;X;X
Metal;X;X;-;X;X;X;X;X;X;X;X;X
Barcode;X;X;-;X;X;X;X;X;X;X;X;X
BMS;-;-;-;-;X;-;-;-;-;-;-;-
SecurityMarkReader;-;X;-;X;-;-;X;-;-;-;X;X
SMR1;-;X;-;-;-;-;-;-;-;-;-;-
SMR2;-;-;-;X;-;-;X;-;-;-;X;X
Printer;X;X;X;X;X;X;X;X;X;X;X;X
Printer1;X;X;X;X;X;X;X;X;X;X;X;X
Product_group;X;X;X;X;X;X;X;X;X;X;X;X
FrontEnd;X;X;X;-;-;-;X;X;X;-;-;X
Machine_type_frontend;X;X;X;-;-;-;X;X;X;-;-;X
RVM1;X;X;-;-;-;-;-;-;-;-;-;-
RVM2;-;-;-;-;-;-;X;X;-;-;-;-
RVM3;-;-;-;-;-;-;-;-;X;-;-;X
RVM4;-;-;X;-;-;-;-;-;-;-;-;-
RVM5;-;-;-;-;-;-;-;-;-;-;-;-
Backroom;X;X;X;-;-;-;X;X;X;-;-;X
Backroom_details;X;X;X;-;-;-;X;X;X;-;-;X
SortingIntersection;-;-;-;-;-;-;-;X;-;-;-;-
MasterPack;-;X;-;-;-;-;-;-;-;-;-;-
LeftTurn;-;-;-;-;-;-;-;-;-;-;-;-
LeftStraight;-;X;-;-;-;-;-;-;-;-;-;-
RightTurn;-;-;-;-;-;-;-;-;-;-;-;-
RightStraight;-;-;-;-;-;-;-;-;-;-;-;-
SoftDrop;-;-;-;-;-;-;-;-;-;-;-;-
Logistima;-;-;-;-;-;-;X;-;-;-;-;X
HSG;-;-;-;-;-;-;X;-;-;-;-;-
HSG_ekstra;-;-;-;-;-;-;X;-;-;-;-;-
SCC_L;-;-;-;-;-;-;X;-;-;-;-;-
SCC_L_ekstra;-;-;-;-;-;-;-;-;-;-;-;-
SCC_R;-;-;-;-;-;-;-;-;-;-;-;X
SCC_R_ekstra;-;-;-;-;-;-;-;-;-;-;-;-
Termination;-;-;-;-;-;-;X;-;-;-;-;X
EBR_L;-;-;-;-;-;-;-;-;-;-;-;-
EBR_R;-;-;-;-;-;-;X;-;-;-;-;-
Logistima_SoftDrop;-;-;-;-;-;-;-;-;-;-;-;X
RaiserBord;X;-;X;-;-;-;-;X;X;-;-;-
InPack;-;-;-;X;X;X;-;-;-;X;X;-
Machine_type_inpack;-;-;-;X;X;X;-;-;-;X;X;-
MTI1;-;-;-;X;-;-;-;-;-;-;-;-
MTI2;-;-;-;-;-;-;-;-;-;-;-;-
MTI3;-;-;-;-;X;-;-;-;-;-;-;-
MTI4;-;-;-;-;-;X;-;-;-;-;-;-
MTI5;-;-;-;-;-;-;-;-;-;-;X;-
MTI5_SoftDrop;-;-;-;-;-;-;-;-;-;-;X;-
MTI6;-;-;-;-;-;-;-;-;-;X;-;-
LowerCabinet;-;-;-;X;X;X;-;-;-;X;X;-
Single;-;-;-;-;X;X;-;-;-;X;-;-
Dual;-;-;-;X;-;-;-;-;-;-;X;-
