Feature\Product;0;1;
Other_Group;-;X;
Siren;-;X;
Bell;-;X;
Card_Reader;-;X;
Environment_Control;X;X;
Measurement_Units;X;X;
Touch_Screen;-;X;
First_Aid_Group;X;X;
Fire_Alarm;X;X;
Manual_Windows;X;X;
Automatic_Windows;-;X;
Fahrenheit;-;X;
Pre-defined_Values;-;X;
Smart_Home;X;X;
Mobile;-;X;
Presence_Simulator;X;X;
Light;-;X;
Windows_Management;X;X;
Music_Simulation;-;X;
Simple_Control;X;X;
Smart_Heating_Management;-;X;
Smart_Light_Management;-;X;
Fire_Control;X;X;
Heating_Management;X;X;
Temperature_Management;X;X;
GUI;X;X;
Light_Management;X;X;
Celsius;-;X;
Fingerprint_Reader;-;X;
Door_Lock;X;X;
Blind_Simulation;-;X;
Keypad_Reader;-;X;
Fire_Department;-;X;
Internet;-;X;
Light_Simulation;-;X;
